dre,nome,data_inicio,data_fim,cr
457876796,Tabor Venour,2018-09-09,2019-01-13,1.9
842425977,Fernande Drabble,2017-02-22,2016-07-10,8.2
772260137,Jeana Shirland,2018-06-16,2019-04-24,5.2
704694071,Farrand O'Brallaghan,2017-11-08,2018-10-06,6.6
334072731,Kingston Graveson,2019-09-04,2018-02-16,1.7
874087279,De Pioli,2016-10-05,2017-05-11,6.3
543370012,Babette Reuben,2016-09-09,2017-12-21,5.0
226436069,Amata Wincott,2017-10-15,2018-06-29,7.1
248836936,Herman Lathe,2016-11-27,2016-06-11,6.7
616624101,Herbie Dursley,2018-08-20,2017-07-11,0.8
006649822,Verney Tyce,2016-12-20,2018-01-12,0.1
733618508,Bethanne Ibel,2019-01-12,2018-06-27,5.1
220298266,Gottfried Feak,2018-08-22,2018-08-22,1.1
115437812,Myron Wilcocks,2018-06-06,2017-09-09,9.7
122286034,Aeriela Greening,2016-08-31,2015-12-11,8.6
116141508,Francois Philpots,2016-07-05,2016-07-21,6.1
405617101,Lowe Caldecott,2019-02-05,2019-06-18,8.0
526259057,Dewie Mabbott,2019-01-26,2017-07-25,8.2
331510867,Marcus Campbell,2017-02-10,2018-12-26,2.9
696954879,Albie Dunkerton,2019-02-07,2016-11-01,8.1
362475021,Julie Denecamp,2018-12-20,2018-11-27,8.1
892679399,Marys Rodway,2019-01-31,2015-12-07,1.7
479421301,Bogart Stang-Gjertsen,2019-07-02,2018-09-29,9.2
377470428,Tedie Piletic,2018-05-07,2017-01-23,1.6
169761697,Gasper Lippiello,2015-12-14,2018-08-27,3.7
512230831,Rikki Gransden,2019-02-03,2016-07-10,6.3
896023483,Marilee Caughan,2017-03-19,2019-08-01,7.7
894895620,Cristy Tompkin,2019-06-20,2017-12-30,6.3
418655566,Cindie Draijer,2017-09-25,2017-08-15,3.2
573525150,Vicky Rubes,2016-05-13,2016-09-24,5.2
653265472,Isidore Fry,2017-05-30,2019-07-29,6.3
048184608,Clemmy Waple,2019-07-08,2019-01-17,7.8
067458177,Berty Schuelcke,2018-05-02,2017-03-08,1.1
821538026,Tonie Sweetmore,2016-08-07,2017-06-06,4.9
415069098,Ham Scrogges,2015-12-04,2017-07-18,9.3
851831391,Kelby Sendall,2019-02-13,2018-02-28,7.5
146348435,Ed Heinke,2015-12-12,2019-08-24,9.0
595629337,Garrott Toombs,2019-04-10,2016-03-06,6.5
535142594,Lyn McMoyer,2017-10-13,2019-03-25,6.2
558429767,Tilly Shreeve,2018-07-25,2018-05-16,6.2
418774303,Isabelle Dinneges,2018-06-15,2016-06-22,7.0
341223482,Brandi Doret,2016-06-22,2018-04-18,7.8
402599721,Isadora Mingay,2018-09-13,2019-05-07,5.9
748545168,Cati Robion,2017-02-01,2019-01-08,3.5
708446720,Cora Shimoni,2016-01-30,2018-07-23,8.9
779725239,Rozina Espinazo,2017-03-14,2018-11-22,4.6
360755672,Corby Gianni,2015-11-13,2017-08-15,1.3
861700279,Emery Whettleton,2016-08-19,2017-08-15,7.3
502532205,Luce De la Yglesia,2019-03-18,2016-01-17,7.3
380938375,Gilberte Moss,2016-06-19,2016-08-21,5.6
883376356,Camila Bettinson,2016-10-15,2017-02-16,7.7
374803967,Karena Absolom,2017-02-07,2018-10-24,7.8
757925158,Davidson Alexandrescu,2019-04-23,2018-09-05,0.6
267578537,Broderic Jotcham,2018-09-07,2015-12-11,0.2
204007750,Cherin Stoddart,2018-02-22,2019-03-11,0.9
511764601,Yovonnda Eldin,2016-08-01,2017-03-03,1.6
